bvid,ctime,like,uname,message,rcount,data_source,sent_score,sentiment,intent,quality
BV1YgT26qETR,1783254800,25391,勇者嫁恶龙,放弃版权的意思就是：请尽可能地传播！谢谢！,147,real,0.43403137573325,中,陈述,0.85
BV1YgT26qETR,1783260363,7120,下次丕定投B,漠叔办事，方方面面的，就是贴心，讲究！,71,real,0.9995032246367003,正,陈述,0.817
BV1YgT26qETR,1783277353,5967,知子莫若父__,能力有限，只抓取到本地做了个机翻，我准备发到外网，如果有大手子能做的更好可以联系我发抓取的文件！,62,real,0.45474071833064444,中,建议,1.0
BV1YgT26qETR,1783255014,8850,XY艾利紫栗魂沐霏小号,齐齐哈尔人永远不会忘记，在日本投降48年后的2003年8月4日，日军遗留在齐齐哈尔的芥子气毒剂罐泄露，造成了44人中毒，一人死亡的悲剧。。。。。。,206,real,0.12840061504415634,负,陈述,1.0
BV1YgT26qETR,1783254901,5068,风雨不动安如山的BOY,大多数人都不知道埋藏在我们呼伦贝尔大草原深处的伤痛和秘密,75,real,0.9999983937358575,正,陈述,0.967
BV1YgT26qETR,1783293149,1995,智慧电影了凡四训传家,前事不忘后事之师,14,real,0.12739637105988255,负,陈述,0.633
BV1YgT26qETR,1783288695,4215,智慧电影了凡四训传家,放弃版权的意思就是：请尽可能地传播！谢谢！,12,real,0.43403137573325,中,陈述,0.85
BV1YgT26qETR,1783314795,1385,游乌,作为一名宜昌人，之前并不清楚日军在宜昌反攻战中使用如此之多的毒气战，感谢漠叔的视频，我会教育给我的下一代让他知道历史的真相。,15,real,0.9999816419418736,正,陈述,1.0
BV1YgT26qETR,1783262731,2477,ZearyAn,"我推荐大家可以支持一下
白玉兰0中的《反人类暴行》[捂脸]
“如果受害者都忘了，那加害者怎么会记得”[大哭]
可能去年731电影消费了大家情怀，但这电视剧真实体现日本纳粹的扭曲可怕，沉重的731题材因为好的审美、制作、剧本、演绎得到了很好的历史表达。
不希望好作品被埋没，当然如果有条件，旅游的时候，大家也去看看731部队罪证陈列馆，也建议各大抗日史实材料陈列纪念馆查漏补缺日语翻译，要让对这段历史有了解意愿的日本人也知道历史的真相！[思考]",49,real,0.9999999999999463,正,提问,1.0
BV1YgT26qETR,1783255880,1892,等一场旧时烟雨,无人在意的角落，日本的汇率正在发生变化[微笑],87,real,0.9568036339481648,正,陈述,0.883
